second,Volt1
-7.35656e-05,-2.162814047187
-7.35588e-05,-1.961809024214
-7.3552e-05,-2.050251234323
-7.35452e-05,-1.977889426052
-7.35384e-05,-1.84924621135
-7.35316e-05,-1.801005005836
-7.35248e-05,-1.792964804918
-7.3518e-05,-1.768844202161
-7.35112e-05,-1.905527617783
-7.35044e-05,-1.833165809513
-7.34976e-05,-1.841206010431
-7.34908e-05,-1.768844202161
-7.3484e-05,-1.849246211351
-7.34772e-05,-1.817085407673
-7.34704e-05,-1.833165809513
-7.34636e-05,-1.736683398486
-7.34568e-05,-1.744723599403
-7.345e-05,-1.768844202159
-7.34432e-05,-1.527638174593
-7.34364e-05,-1.656281389295
-7.34296e-05,-1.752763800321
-7.34228e-05,-1.736683398487
-7.3416e-05,-1.567839179189
-7.34092e-05,-1.591959781944
-7.34024e-05,-1.672361791136
-7.33956e-05,-1.736683398486
-7.33888e-05,-1.688442192972
-7.3382e-05,-1.527638174594
-7.33752e-05,-1.608040183783
-7.33684e-05,-1.656281389295
-7.33616e-05,-1.624120585623
-7.33548e-05,-1.640200987456
-7.3348e-05,-1.567839179189
-7.33412e-05,-1.656281389294
-7.33344e-05,-1.672361791136
-7.33276e-05,-1.720602996646
-7.33208e-05,-1.608040183783
-7.3314e-05,-1.608040183781
-7.33072e-05,-1.583919581027
-7.33004e-05,-1.511557772758
-7.32936e-05,-1.599999982862
-7.32868e-05,-1.527638174593
-7.328e-05,-1.688442192972
-7.32732e-05,-1.575879380111
-7.32664e-05,-1.624120585618
-7.32596e-05,-1.559798978268
-7.32528e-05,-1.640200987455
-7.3246e-05,-1.527638174593
-7.32392e-05,-1.527638174593
-7.32324e-05,-1.479396969074
-7.32256e-05,-1.382914558056
-7.32188e-05,-1.398994959888
-7.3212e-05,-1.407035160808
-7.32052e-05,-0.385929644064
-7.31984e-05,1.503517571842
-7.31916e-05,2.395979873841
-7.31848e-05,2.516582887622
-7.3178e-05,2.572864294054
-7.31712e-05,2.484422083939
-7.31644e-05,2.621105499564
-7.31576e-05,2.420100476595
-7.31508e-05,2.363819070157
-7.3144e-05,2.45226128027
-7.31372e-05,2.412060275674
-7.31304e-05,2.339698467402
-7.31236e-05,2.331658266485
-7.31168e-05,2.194974850865
-7.311e-05,2.170854248106
-7.31032e-05,2.114572841672
-7.30964e-05,2.122613042595
-7.30896e-05,2.010050229728
-7.30828e-05,2.138693444435
-7.3076e-05,2.050251234316
-7.30692e-05,2.074371837077
-7.30624e-05,2.010050229728
-7.30556e-05,1.993969827886
-7.30488e-05,1.873366814109
-7.3042e-05,2.090452238917
-7.30352e-05,2.034170832483
-7.30284e-05,1.97788942605
-7.30216e-05,2.010050229728
-7.30148e-05,2.010050229728
-7.3008e-05,2.090452238917
-7.30012e-05,2.026130631569
-7.29944e-05,2.018090430645
-7.29876e-05,1.929648220539
-7.29808e-05,2.018090430639
-7.2974e-05,1.84924621135
-7.29672e-05,1.905527617785
-7.29604e-05,1.929648220539
-7.29536e-05,2.146733645342
-7.29468e-05,1.929648220539
-7.294e-05,1.929648220545
-7.29332e-05,1.84924621135
-7.29264e-05,2.066331636169
-7.29196e-05,1.929648220539
-7.29128e-05,1.82512560859
-7.2906e-05,1.849246211353
-7.28992e-05,1.985929626974
-7.28924e-05,1.97788942605
-7.28856e-05,1.929648220539
-7.28788e-05,1.929648220539
-7.2872e-05,2.010050229734
-7.28652e-05,1.833165809509
-7.28584e-05,1.841206010434
-7.28516e-05,2.010050229728
-7.28448e-05,2.010050229728
-7.2838e-05,1.92964822053
-7.28312e-05,1.688442192972
-7.28244e-05,1.575879380104
-7.28176e-05,1.616080384705
-7.28108e-05,1.688442192972
-7.2804e-05,1.768844202167
-7.27972e-05,1.913567818698
-7.27904e-05,1.993969827897
-7.27836e-05,1.977889426056
-7.27768e-05,2.138693444438
-7.277e-05,2.331658266478
-7.27632e-05,2.339698467414
-7.27564e-05,2.412060275674
-7.27496e-05,2.500502485785
-7.27428e-05,2.572864294052
-7.2736e-05,2.613065298636
-7.27292e-05,2.653266303241
-7.27224e-05,2.870351728063
-7.27156e-05,2.942713536326
-7.27088e-05,2.870351728048
-7.2702e-05,2.974874339987
-7.26952e-05,2.846231125303
-7.26884e-05,2.974874339998
-7.26816e-05,2.910552732654
-7.26748e-05,2.990954741832
-7.2668e-05,3.055276349195
-7.26612e-05,3.055276349187
-7.26544e-05,3.055276349187
-7.26476e-05,3.151758760222
-7.26408e-05,3.079396951948
-7.2634e-05,3.055276349191
-7.26272e-05,3.07939695194
-7.26204e-05,3.119597956546
-7.26136e-05,3.199999965719
-7.26068e-05,3.183919563898
-7.26e-05,3.175879362975
-7.25932e-05,3.199999965723
-7.25864e-05,3.20804016665
-7.25796e-05,3.216080367565
-7.25728e-05,3.240200970326
-7.2566e-05,3.135678358389
-7.25592e-05,3.26432157307
-7.25524e-05,3.360803984114
-7.25456e-05,3.36884418502
-7.25388e-05,3.232160769399
-7.2532e-05,3.216080367565
-7.25252e-05,3.216080367565
-7.25184e-05,3.28844217584
-7.25116e-05,3.264321573083
-7.25048e-05,3.320602979516
-7.2498e-05,3.296482376759
-7.24912e-05,3.320602979506
-7.24844e-05,3.360803984115
-7.24776e-05,3.376884385943
-7.24708e-05,3.312562778587
-7.2464e-05,3.256281372164
-7.24572e-05,3.232160769408
-7.24504e-05,3.224120568479
-7.24436e-05,3.183919563894
-7.24368e-05,3.240200970327
-7.243e-05,3.376884385934
-7.24232e-05,3.272361774002
-7.24164e-05,3.312562778582
-7.24096e-05,3.063316550013
-7.24028e-05,0.916582904697
-7.2396e-05,-0.402010045956
-7.23892e-05,-0.820100493734
-7.23824e-05,-1.029145717631
-7.23756e-05,-1.045226119459
-7.23688e-05,-1.037185918555
-7.2362e-05,-1.206030137832
-7.23552e-05,-1.125628128648
-7.23484e-05,-1.125628128648
-7.23416e-05,-1.286432147026
-7.23348e-05,-1.286432147026
-7.2328e-05,-1.286432147026
-7.23212e-05,-1.334673352529
-7.23144e-05,-1.350753754388
-7.23076e-05,-1.238190941507
-7.23008e-05,-1.342713553453
-7.2294e-05,-1.366834156215
-7.22872e-05,-1.423115562653
-7.22804e-05,-1.495477370912
-7.22736e-05,-1.447236165404
-7.22668e-05,-1.382914558048
-7.226e-05,-1.447236165404
-7.22532e-05,-1.447236165404
-7.22464e-05,-1.51959797368
-7.22396e-05,-1.527638174593
-7.22328e-05,-1.688442192972
-7.2226e-05,-1.768844202155
-7.22192e-05,-1.632160786534
-7.22124e-05,-1.688442192972
-7.22056e-05,-1.696482393896
-7.21988e-05,-1.768844202161
-7.2192e-05,-1.688442192972
-7.21852e-05,-1.768844202161
-7.21784e-05,-1.696482393885
-7.21716e-05,-1.736683398491
-7.21648e-05,-1.744723599398
-7.2158e-05,-1.929648220527
-7.21512e-05,-1.712562795723
-7.21444e-05,-1.768844202161
-7.21376e-05,-1.857286412275
-7.21308e-05,-1.929648220539
